[rosmaster.main][INFO] 2021-08-28 13:41:52,517: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-08-28 13:41:52,518: Starting ROS Master Node
[rosmaster.master][INFO] 2021-08-28 13:41:52,817: +PARAM [/rf2o_laser_odometry/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,817: +PARAM [/move_base/TebLocalPlannerROS/roadmap_graph_area_width] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,818: +PARAM [/move_base/local_costmap/sensor/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,818: +PARAM [/move_base/TebLocalPlannerROS/weight_adapt_factor] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,818: +PARAM [/move_base/TebLocalPlannerROS/map_frame] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,819: +PARAM [/move_base/TebLocalPlannerROS/weight_dynamic_obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,819: +PARAM [/amcl/initial_cov_aa] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,819: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,820: +PARAM [/move_base/GlobalPlanner/allow_unknown] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,820: +PARAM [/move_base/TebLocalPlannerROS/viapoints_all_candidates] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,820: +PARAM [/move_base/TebLocalPlannerROS/weight_inflation] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,821: +PARAM [/move_base/global_costmap/inflation/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,821: +PARAM [/move_base/TebLocalPlannerROS/weight_viapoint] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,821: +PARAM [/amcl/laser_lambda_short] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,822: +PARAM [/move_base/TebLocalPlannerROS/h_signature_prescaler] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,822: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,822: +PARAM [/move_base/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,823: +PARAM [/move_base/TebLocalPlannerROS/oscillation_recovery] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,823: +PARAM [/move_base/TebLocalPlannerROS/dt_hysteresis] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,823: +PARAM [/move_base/GlobalPlanner/visualize_potential] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,824: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,824: +PARAM [/rosky03/wheels_driver_node/board_name] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,824: +PARAM [/move_base/global_costmap/inflation/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,824: +PARAM [/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,825: +PARAM [/move_base/TebLocalPlannerROS/exact_arc_length] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,825: +PARAM [/move_base/TebLocalPlannerROS/weight_acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,825: +PARAM [/amcl/tf_broadcast] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,825: +PARAM [/rosky03/nav_cmd_mapper/speed_gain] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,826: +PARAM [/amcl/laser_model_type] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,826: +PARAM [/move_base/TebLocalPlannerROS/teb_autosize] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,826: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,827: +PARAM [/rosky03/wheels_driver_node/motor_correct] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,827: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,827: +PARAM [/ydlidar_node/resolution_fixed] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,828: +PARAM [/move_base/TebLocalPlannerROS/is_footprint_dynamic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,828: +PARAM [/amcl/laser_sigma_hit] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,828: +PARAM [/amcl/recovery_alpha_fast] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,828: +PARAM [/move_base/global_costmap/static/subscribe_to_updates] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,828: +PARAM [/move_base/TebLocalPlannerROS/max_number_classes] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,829: +PARAM [/move_base/oscillation_timeout] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,829: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,829: +PARAM [/rf2o_laser_odometry/init_pose_from_topic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,829: +PARAM [/move_base/TebLocalPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,830: +PARAM [/ydlidar_node/reversion] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,830: +PARAM [/rosky03/nav_cmd_mapper/simulated_vehicle_length] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,830: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,831: +PARAM [/move_base/TebLocalPlannerROS/weight_kinematics_forward_drive] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,831: +PARAM [/move_base/TebLocalPlannerROS/inflation_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,831: +PARAM [/move_base/TebLocalPlannerROS/optimization_activate] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,831: +PARAM [/move_base/TebLocalPlannerROS/shrink_horizon_backup] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,832: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,832: +PARAM [/move_base/TebLocalPlannerROS/obstacle_association_cutoff_factor] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,832: +PARAM [/rosky03/nav_cmd_mapper/bicycle_kinematics] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,832: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,833: +PARAM [/move_base/TebLocalPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,833: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,833: +PARAM [/move_base/oscillation_distance] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,833: +PARAM [/move_base/local_costmap/sensor/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,834: +PARAM [/move_base/TebLocalPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,834: +PARAM [/move_base/TebLocalPlannerROS/max_vel_y] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,834: +PARAM [/amcl/odom_alpha4] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,835: +PARAM [/move_base/GlobalPlanner/use_quadratic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,835: +PARAM [/amcl/odom_alpha1] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,835: +PARAM [/amcl/odom_alpha2] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,835: +PARAM [/amcl/odom_alpha3] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,836: +PARAM [/move_base/TebLocalPlannerROS/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,836: +PARAM [/rosky03/nav_cmd_mapper/navigation] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,836: +PARAM [/move_base/TebLocalPlannerROS/enable_multithreading] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,837: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,837: +PARAM [/move_base/TebLocalPlannerROS/include_costmap_obstacles] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,837: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,837: +PARAM [/move_base/TebLocalPlannerROS/roadmap_graph_no_samples] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,838: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,838: +PARAM [/move_base/TebLocalPlannerROS/no_inner_iterations] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,838: +PARAM [/move_base/global_costmap/sensor/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,839: +PARAM [/move_base/TebLocalPlannerROS/selection_prefer_initial_plan] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,839: +PARAM [/move_base/global_costmap/sensor/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,839: +PARAM [/rosky03/nav_cmd_mapper/steer_angle_gain] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,839: +PARAM [/move_base/local_costmap/inflation/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,840: +PARAM [/move_base/TebLocalPlannerROS/weight_kinematics_nh] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,840: +PARAM [/move_base/global_costmap/sensor/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,840: +PARAM [/move_base/TebLocalPlannerROS/global_plan_viapoint_sep] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,840: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,840: +PARAM [/move_base/TebLocalPlannerROS/publish_feedback] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,841: +PARAM [/amcl/max_particles] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,841: +PARAM [/amcl/laser_z_max] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,841: +PARAM [/move_base/TebLocalPlannerROS/obstacle_heading_threshold] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,841: +PARAM [/move_base/TebLocalPlannerROS/weight_dynamic_obstacle_inflation] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,842: +PARAM [/move_base/TebLocalPlannerROS/weight_kinematics_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,842: +PARAM [/move_base/TebLocalPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,842: +PARAM [/amcl/min_particles] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,842: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,843: +PARAM [/move_base/local_costmap/inflation/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,843: +PARAM [/move_base/TebLocalPlannerROS/via_points_ordered] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,843: +PARAM [/move_base/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,843: +PARAM [/move_base/TebLocalPlannerROS/h_signature_threshold] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,844: +PARAM [/rf2o_laser_odometry/laser_scan_topic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,844: +PARAM [/move_base/TebLocalPlannerROS/max_vel_x_backwards] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,844: +PARAM [/move_base/TebLocalPlannerROS/enable_homotopy_class_planning] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,844: +PARAM [/move_base/TebLocalPlannerROS/obstacle_association_force_inclusion_factor] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,844: +PARAM [/move_base/GlobalPlanner/default_tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,845: +PARAM [/ydlidar_node/range_min] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,845: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,845: +PARAM [/move_base/TebLocalPlannerROS/weight_obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,845: +PARAM [/move_base/global_costmap/sensor/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,846: +PARAM [/move_base/local_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,846: +PARAM [/ydlidar_node/samp_rate] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,846: +PARAM [/move_base/TebLocalPlannerROS/selection_cost_hysteresis] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,846: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/type] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,846: +PARAM [/move_base/TebLocalPlannerROS/visualize_with_time_as_z_axis_scale] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,847: +PARAM [/move_base/TebLocalPlannerROS/dynamic_obstacle_inflation_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,847: +PARAM [/amcl/laser_z_hit] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,847: +PARAM [/amcl/kld_z] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,847: +PARAM [/ydlidar_node/port] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,848: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,848: +PARAM [/amcl/resample_interval] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,848: +PARAM [/move_base/local_costmap/sensor/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,848: +PARAM [/move_base/local_costmap/sensor/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,849: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,849: +PARAM [/ydlidar_node/ignore_array] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,849: +PARAM [/ydlidar_node/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,849: +PARAM [/move_base/conservative_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,849: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,850: +PARAM [/move_base/TebLocalPlannerROS/visualize_hc_graph] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,850: +PARAM [/move_base/TebLocalPlannerROS/cmd_angle_instead_rotvel] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,850: +PARAM [/move_base/planner_patience] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,850: +PARAM [/move_base/TebLocalPlannerROS/weight_acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,851: +PARAM [/move_base/TebLocalPlannerROS/weight_acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,851: +PARAM [/move_base/TebLocalPlannerROS/costmap_obstacles_behind_robot_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,851: +PARAM [/amcl/laser_likelihood_max_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,851: +PARAM [/amcl/update_min_a] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,852: +PARAM [/move_base/TebLocalPlannerROS/penalty_epsilon] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,852: +PARAM [/move_base/local_costmap/sensor/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,852: +PARAM [/move_base/TebLocalPlannerROS/min_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,852: +PARAM [/amcl/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,852: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,853: +PARAM [/amcl/initial_cov_yy] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,853: +PARAM [/move_base/TebLocalPlannerROS/weight_optimaltime] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,853: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,853: +PARAM [/move_base/global_costmap/sensor/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,854: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,854: +PARAM [/move_base/GlobalPlanner/orientation_mode] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,854: +PARAM [/move_base/TebLocalPlannerROS/force_reinit_new_goal_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,854: +PARAM [/rf2o_laser_odometry/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,855: +PARAM [/move_base/TebLocalPlannerROS/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,855: +PARAM [/move_base/global_costmap/static/map_topic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,855: +PARAM [/move_base/TebLocalPlannerROS/global_plan_overwrite_orientation] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,855: +PARAM [/amcl/use_map_topic] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,855: +PARAM [/move_base/TebLocalPlannerROS/free_goal_vel] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,856: +PARAM [/move_base/TebLocalPlannerROS/weight_max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,856: +PARAM [/move_base/TebLocalPlannerROS/weight_max_vel_y] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,856: +PARAM [/move_base/TebLocalPlannerROS/selection_alternative_time_cost] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,856: +PARAM [/move_base/local_costmap/sensor/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,857: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,857: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,857: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,857: +PARAM [/move_base/GlobalPlanner/cost_factor] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,858: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,858: +PARAM [/ydlidar_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,858: +PARAM [/ydlidar_node/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,858: +PARAM [/amcl/kld_err] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,859: +PARAM [/ydlidar_node/low_exposure] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,859: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/vertices] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,859: +PARAM [/move_base/TebLocalPlannerROS/allow_init_with_backwards_motion] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,859: +PARAM [/amcl/first_map_only] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,860: +PARAM [/move_base/GlobalPlanner/use_dijkstra] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,860: +PARAM [/ydlidar_node/range_max] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,860: +PARAM [/move_base/TebLocalPlannerROS/min_obstacle_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,860: +PARAM [/rosky03/wheels_driver_node/motor_encoder] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,861: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,861: +PARAM [/move_base/TebLocalPlannerROS/selection_obst_cost_scale] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,861: +PARAM [/move_base/TebLocalPlannerROS/obstacle_poses_affected] by /roslaunch
